Search Title,Job Title,Company,Location,Salary Min,Salary Max,Category,Created,URL
Global Logistics Coordinator,"Vice President, Head US Supply Chain",Teva Pharmaceuticals,"Parsippany Troy Hills, Morris County",235939.84,235939.84,Logistics & Warehouse Jobs,2025-08-12T17:26:23Z,https://www.adzuna.com/land/ad/5349757464?se=9K3N6a6W8BGdQKu1GYO5Fg&utm_medium=api&utm_source=866ee2f8&v=B43629F1A6546E47F1E964C882E0F7AB5CE9B494
Global Logistics Coordinator,Lead Advisor,Texas Tech University System,"El Paso, El Paso County",56608.18,56608.18,HR & Recruitment Jobs,2025-09-18T19:20:03Z,https://www.adzuna.com/details/5405840468?utm_medium=api&utm_source=866ee2f8
Global Logistics Coordinator,Sr. Global Logistics Specialist,iHerb,US,54063.0,115850.0,Logistics & Warehouse Jobs,2025-07-18T17:08:02Z,https://www.adzuna.com/details/5310698417?utm_medium=api&utm_source=866ee2f8
Global Logistics Coordinator,Senior Program Manager - Cyber Security,TD Synnex,"Clearwater, Pinellas County",143764.77,143764.77,IT Jobs,2025-09-10T20:34:27Z,https://www.adzuna.com/land/ad/5393520556?se=9K3N6a6W8BGdQKu1GYO5Fg&utm_medium=api&utm_source=866ee2f8&v=05B52F261DA9AA334033CF88176E7F02C61DB456
Global Logistics Coordinator,Americas Logistic Lead,HMH,"Houston, Harris County",97344.69,97344.69,Engineering Jobs,2025-08-07T16:53:46Z,https://www.adzuna.com/land/ad/5342508630?se=9K3N6a6W8BGdQKu1GYO5Fg&utm_medium=api&utm_source=866ee2f8&v=B8D32E6BAD0B43E44B6AC84C514CF1FC471F48CF
Global Logistics Coordinator,"Chief of Staff Single-Family Office, Bellevue, USA (Bellevue)",Agreus,"Bellevue, King County",169128.97,169128.97,"PR, Advertising & Marketing Jobs",2025-09-19T14:35:18Z,https://www.adzuna.com/details/5407157072?utm_medium=api&utm_source=866ee2f8
Global Logistics Coordinator,Sr. Executive Administrative Assistant,6046-JANSSEN SUPPLY GROUP. Legal Entity,"Brunswick, Medina County",72450.0,117000.0,Admin Jobs,2025-09-17T19:56:45Z,https://www.adzuna.com/details/5404251880?utm_medium=api&utm_source=866ee2f8
Global Logistics Coordinator,Assistant Operations Manager,APM Terminals Mobile,"Alabama, US",64887.11,64887.11,Engineering Jobs,2025-08-17T19:32:07Z,https://www.adzuna.com/details/5356951756?utm_medium=api&utm_source=866ee2f8
Global Logistics Coordinator,"Associate Manager, Global Events",Jazwares Careers,"Cooper City, Broward County",123806.45,123806.45,"PR, Advertising & Marketing Jobs",2025-08-24T20:16:25Z,https://www.adzuna.com/details/5367081097?utm_medium=api&utm_source=866ee2f8
Global Logistics Coordinator,Mission Support Program Manager,Saronic,"Austin, Travis County",97653.29,97653.29,Engineering Jobs,2025-09-02T17:06:26Z,https://www.adzuna.com/details/5380128534?utm_medium=api&utm_source=866ee2f8
Global Logistics Coordinator,"Associate Manager, Global Events","Jazwares, LLC","Plantation, Broward County",125189.17,125189.17,"PR, Advertising & Marketing Jobs",2025-09-13T14:06:11Z,https://www.adzuna.com/details/5397779295?utm_medium=api&utm_source=866ee2f8
Global Logistics Coordinator,Employee Experience Coordinator,DoorDash USA,US,66600.0,112000.0,HR & Recruitment Jobs,2025-09-12T18:02:21Z,https://www.adzuna.com/details/5396731275?utm_medium=api&utm_source=866ee2f8
Global Logistics Coordinator,Office Foreperson III Akutan Shoreplant,Trident Seafoods,"Akutan, Aleutians East",64748.27,64748.27,Accounting & Finance Jobs,2025-09-08T15:51:08Z,https://www.adzuna.com/details/5389654707?utm_medium=api&utm_source=866ee2f8
Global Logistics Coordinator,Executive Assistant,Wellington Management,"New York City, New York",55000.0,100000.0,Accounting & Finance Jobs,2025-08-17T19:42:11Z,https://www.adzuna.com/details/5356958219?utm_medium=api&utm_source=866ee2f8
Global Logistics Coordinator,"Assistant, Business Development & Marketing","Skadden, Arps...LLP","Washington, Washington, D.C.",70000.0,75000.0,Legal Jobs,2025-08-13T17:31:58Z,https://www.adzuna.com/details/5351411634?utm_medium=api&utm_source=866ee2f8
Global Logistics Coordinator,"Technical lead manager, corporate IT",Writer,"San Francisco, California",236733.67,236733.67,IT Jobs,2025-09-14T18:06:28Z,https://www.adzuna.com/details/5399568708?utm_medium=api&utm_source=866ee2f8
Global Logistics Coordinator,"Technical lead manager, corporate IT",Writer,"New York City, New York",232091.52,232091.52,IT Jobs,2025-09-14T19:08:50Z,https://www.adzuna.com/details/5399696165?utm_medium=api&utm_source=866ee2f8
Global Logistics Coordinator,International Traffic Supervisor,S&C Electric Company,"Rogers Park, Chicago",78870.0,103191.0,Logistics & Warehouse Jobs,2025-08-24T17:03:28Z,https://www.adzuna.com/details/5366844333?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Import/Export Specialist,Creative Financial Staffing,"Wasco, Kern County",43749.12,43749.12,Logistics & Warehouse Jobs,2025-09-18T08:28:14Z,https://www.adzuna.com/details/5404771077?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Import/Export Specialist,Lasko Products,"West Chester, Chester County",57360.84,57360.84,Logistics & Warehouse Jobs,2025-09-13T22:00:03Z,https://www.adzuna.com/details/5398588482?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Import/Export Specialist,Pro Trans International,"Drexel Gardens, Marion County",65903.02,65903.02,Logistics & Warehouse Jobs,2025-09-13T17:36:04Z,https://www.adzuna.com/details/5397924275?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Import & Export Specialist,Berjeorporated,US,58614.0,78332.0,Logistics & Warehouse Jobs,2025-09-14T18:34:37Z,https://www.adzuna.com/details/5399656585?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Sr Import/Export Specialist,Pro Trans International,"Horizon City, El Paso County",58000.0,,Logistics & Warehouse Jobs,2025-09-12T20:33:40Z,https://www.adzuna.com/details/5396981857?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Import/Export Specialist 3,Onto Innovation,"Milpitas, Santa Clara County",93836.34,93836.34,IT Jobs,2025-09-20T23:03:16Z,https://www.adzuna.com/details/5409309099?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Supply Chain Import/Export Specialist,LHH,"Portland, Fremont County",121301.18,121301.18,Logistics & Warehouse Jobs,2025-09-04T14:59:06Z,https://www.adzuna.com/details/5383342183?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Import/Export Compliance Specialist (Hybrid),Integra LifeSciences,"Princeton, Mercer County",40225.52,40225.52,Logistics & Warehouse Jobs,2025-08-21T17:36:08Z,https://www.adzuna.com/land/ad/5362781206?se=CpBN6q6W8BGOXOqOgVlkcw&utm_medium=api&utm_source=866ee2f8&v=01E0D12A4BF779596673347034909DC6D665EC0B
Import/Export Specialist,Import and Export Specialist,Ferguson Enterprises,"Newport News, Newport News City",3600.0,6783.0,Logistics & Warehouse Jobs,2025-08-08T15:29:55Z,https://www.adzuna.com/details/5344050009?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Import and Export Specialist,"Ferguson Enterprises, LLC.","Newport News, Newport News City",84670.48,84670.48,Logistics & Warehouse Jobs,2025-08-22T09:19:16Z,https://www.adzuna.com/details/5363538045?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Import/Export Specialist (Disposable Vape Products – Fully Legal & FDA Compliant),Confidential - Retail,"Costa Mesa, Orange County",100000.0,300000.0,Logistics & Warehouse Jobs,2025-08-31T21:17:38Z,https://www.adzuna.com/details/5376925829?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Import Export Documentation Specialist,LHH,"Lake Oswego, Clackamas County",81517.71,81517.71,Logistics & Warehouse Jobs,2025-09-19T05:39:39Z,https://www.adzuna.com/details/5406726223?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Import Export Documentation Specialist,LHH,"Beaverton, Gladwin County",80988.08,80988.08,Logistics & Warehouse Jobs,2025-09-19T05:44:50Z,https://www.adzuna.com/details/5406745042?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Import Export Documentation Specialist,LHH,"Portland, Fremont County",80946.08,80946.08,Logistics & Warehouse Jobs,2025-09-19T05:38:25Z,https://www.adzuna.com/details/5406719699?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Import Export Documentation Specialist,LHH,"Raleigh Hills, Washington County",78853.86,78853.86,Logistics & Warehouse Jobs,2025-09-19T05:43:55Z,https://www.adzuna.com/details/5406742744?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Import Export Documentation Specialist,LHH,US,80441.86,80441.86,Logistics & Warehouse Jobs,2025-09-19T11:27:06Z,https://www.adzuna.com/details/5406992755?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Import Export Documentation Specialist,LHH,"Milwaukie, Clackamas County",79548.75,79548.75,Logistics & Warehouse Jobs,2025-09-19T05:28:56Z,https://www.adzuna.com/details/5406702813?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Import Export Documentation Specialist,LHH,"Cedar Hills, Utah County",77321.31,77321.31,Logistics & Warehouse Jobs,2025-09-19T05:38:12Z,https://www.adzuna.com/details/5406718338?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Import / Export Compliance Specialist,HP,"Houston, Harris County",73080.93,73080.93,Accounting & Finance Jobs,2025-08-21T16:02:35Z,https://www.adzuna.com/details/5362253091?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Import / Export Compliance Specialist,HP,"Spring, Harris County",72257.0,72257.0,Accounting & Finance Jobs,2025-09-03T08:06:06Z,https://www.adzuna.com/details/5381120129?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Import Export Logistics Specialist,SPX FLOW,"Delavan, Walworth County",35571.89,35571.89,Logistics & Warehouse Jobs,2025-09-18T03:08:52Z,https://www.adzuna.com/details/5404558900?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Import / Export Logistics Specialist,Nidec Global Appliance North America,"Suwanee, Gwinnett County",77373.61,77373.61,Logistics & Warehouse Jobs,2025-08-07T16:52:51Z,https://www.adzuna.com/details/5342503985?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Import Export Compliance Specialist TCRS4555,Trade Compliance Recruiting Solutions,"Orchard Park, Erie County",63133.76,63133.76,Admin Jobs,2025-08-21T17:16:26Z,https://www.adzuna.com/details/5362513071?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,"Specialist, Import/Export",Cole-Parmer Instrument Company,"Franklin, Norfolk County",45000.0,55000.0,Logistics & Warehouse Jobs,2025-08-29T20:41:53Z,https://www.adzuna.com/details/5374627553?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Air Cargo Import and Export Operations Specialist,Amrecco,"Inwood, Nassau County",56371.57,56371.57,Logistics & Warehouse Jobs,2025-09-15T22:34:55Z,https://www.adzuna.com/details/5401069474?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Account Specialist- Export/ Import,Seaboard Marine,"Miami, Miami-Dade County",38162.56,38162.56,"Energy, Oil & Gas Jobs",2025-08-02T18:53:48Z,https://www.adzuna.com/details/5335322714?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Part-time: Air Cargo Import and Export Operations Specialist,Amrecco,"Inwood, Nassau County",52824.13,52824.13,Part time Jobs,2025-09-16T22:36:16Z,https://www.adzuna.com/details/5402559301?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,"Trade Specialist, Imports/Exports (Licensed Customs Broker)",Network Temp,"New York City, New York",65000.0,95000.0,Logistics & Warehouse Jobs,2025-08-20T18:45:19Z,https://www.adzuna.com/details/5361314943?utm_medium=api&utm_source=866ee2f8
Import/Export Specialist,Import/Export Analyst,Sanden International USA,"St Paul, Collin County",71147.2,71147.2,Logistics & Warehouse Jobs,2025-06-08T06:03:51Z,https://www.adzuna.com/details/5239980764?utm_medium=api&utm_source=866ee2f8
